"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"março 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"março 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"abril 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"abril 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"abril 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"maio 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"maio 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"maio 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"junho 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"junho 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"junho 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"julho 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"julho 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"julho 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"agosto 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"agosto 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"agosto 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"setembro 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"setembro 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"setembro 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"outubro 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"outubro 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"outubro 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"novembro 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"novembro 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"novembro 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"dezembro 2008";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"dezembro 2008";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"dezembro 2008";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"janeiro 2009";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"janeiro 2009";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
"janeiro 2009";"Bahia";"3.12 Fabricação de produtos do fumo";"-"
"fevereiro 2009";"Ceará";"3.12 Fabricação de produtos do fumo";"-"
"fevereiro 2009";"Pernambuco";"3.12 Fabricação de produtos do fumo";"-"
